127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:01, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:01, GET, /eadtools/static/images/facebook.png, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:09, GET, /eadtools/default/planosdeentrega/disciplina, HTTP/1.1, 200, 0.203000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 304, 0.031000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 304, 0.032000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:10, GET, /eadtools/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:12, GET, /eadtools/default/planosdeentrega/disciplina, HTTP/1.1, 200, 0.187000
127.0.0.1, 2016-12-24 20:30:15, GET, /eadtools/default/planosdeentrega/disciplina, HTTP/1.1, 200, 0.214000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/images/facebook.png, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:16, GET, /eadtools/static/images/gplus-32.png, HTTP/1.1, 304, 0.015000
